Timestamp, MAC Address, RSSI, Device ID, Sensor Value
2025-05-06T13:11:15.218675,ac:f1:08:37:12:97,-88,N/A,N/A,No Manuf Data
2025-05-06T13:11:15.226203,2b:cc:f8:49:0c:5b,-72,N/A,N/A,No Manuf Data
2025-05-06T13:11:15.234916,54:ef:44:37:bc:10,-65,N/A,N/A,No Manuf Data
2025-05-06T13:19:33.144032,4e:1f:58:62:0a:80,-60,N/A,N/A,Not Parsed
2025-05-06T13:19:33.156785,72:4c:33:0e:49:8f,-71,N/A,N/A,Not Parsed
2025-05-06T13:19:33.166949,0b:80:a7:fb:b0:8b,-55,N/A,N/A,No Manuf Data
2025-05-06T13:19:33.181493,b8:78:2e:2a:00:f7,-77,N/A,N/A,Not Parsed
2025-05-06T13:19:33.190236,ac:f1:08:37:12:97,-88,N/A,N/A,No Manuf Data
2025-05-06T13:19:33.199967,d8:3a:dd:37:64:e3,-54,98765,23.0000,Queued
2025-05-06T13:19:33.216899,f8:b9:5a:ac:f8:45,-69,N/A,N/A,No Manuf Data
2025-05-06T13:19:33.224482,d8:a3:5c:64:11:b3,-94,N/A,N/A,Not Parsed
2025-05-06T13:19:33.233716,54:ef:44:37:bc:10,-64,N/A,N/A,No Manuf Data
2025-05-06T13:21:27.160355,4e:1f:58:62:0a:80,-56,N/A,N/A,Not Parsed
2025-05-06T13:21:27.173035,72:4c:33:0e:49:8f,-80,N/A,N/A,Not Parsed
2025-05-06T13:21:27.181362,b8:78:2e:2a:00:f7,-81,N/A,N/A,Not Parsed
2025-05-06T13:21:27.195187,ac:f1:08:37:12:97,-76,N/A,N/A,No Manuf Data
2025-05-06T13:21:27.206388,d8:3a:dd:37:64:e3,-55,98765,23.0000,Queued
2025-05-06T13:21:27.219152,0b:80:a7:fb:b0:8b,-57,N/A,N/A,No Manuf Data
2025-05-06T13:21:27.227797,f8:b9:5a:ac:f8:45,-72,N/A,N/A,No Manuf Data
2025-05-06T13:21:27.237130,54:ef:44:37:bc:10,-66,N/A,N/A,No Manuf Data
2025-05-06T13:21:27.248861,c8:29:2a:d9:48:2a,-98,N/A,N/A,No Manuf Data
2025-05-06T13:24:33.891796,17:9b:19:92:ca:c5,-56,N/A,N/A,No Manuf Data
2025-05-06T13:24:33.902504,72:4c:33:0e:49:8f,-75,N/A,N/A,Not Parsed
2025-05-06T13:24:33.910085,7c:1e:3c:ec:8d:0b,-57,N/A,N/A,Not Parsed
2025-05-06T13:24:33.917268,b8:78:2e:2a:00:f7,-79,N/A,N/A,Not Parsed
2025-05-06T13:24:33.925147,d8:3a:dd:37:64:e3,-56,98765,23.0000,Queued
2025-05-06T13:24:33.939922,ac:f1:08:37:12:97,-85,N/A,N/A,No Manuf Data
2025-05-06T13:24:33.952148,f8:b9:5a:ac:f8:45,-67,N/A,N/A,No Manuf Data
2025-05-06T13:24:33.958614,d8:a3:5c:64:11:b3,-89,N/A,N/A,Not Parsed
2025-05-06T13:24:33.964869,69:c5:33:05:7d:76,-77,N/A,N/A,Not Parsed
